PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1_ROBUST_Z_SCORED,CONTROL_Z_SCORE_BIN,DOX_AVERAGE_CTG_NORMALISED_TO_NT1_ROBUST_Z_SCORED,DOX_Z_SCORE_BIN,COMBINED_ZSCORE_BIN,CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1,CONTROL_AVERAGE_CTG_NORMALISED_TO_MOCK,DOX_AVERAGE_CTG_NORMALISED_TO_NT1,DOX_AVERAGE_CTG_NORMALISED_TO_MOCK,FOLD_CHANGE_RATIO,FOLD_CHANGE_RATIO_Z_SCORE,SEED_CLUSTER_MIRNA_SHARING_SEED
RESULT_TYPE,,,,,,,STRING,TARGET_NCBI_GENE_ID,STRING,INTEGER,STRING,FLOAT,STRING,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,Dharmacon GE reagent id,NCBI Entrez Gene database id of intended siRNA target gene,Official symbol of target NCBI Gene Id,Plate number,Well location,"Control (siRNA alone) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates. Average normalised control CTG values used to calculate robust Z-score.","Control robust Z-score binning classification: LC (low cell count): value (2) -2, Hi (high cell count): value (3) 2, and NC (no change): 2 (3) value (3) -2","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates. Average normalised control CTG values used to calculate robust Z-score.","Doxorubicin robust Z-score binning classification: LC (low cell count): value (2) -2, Hi (high cell count): value (3) 2, and NC (no change): 2 (3) value (3) -2",Combined (CONTROL_Z_SCORE_BIN and DOX_Z_SCORE_BIN) Z-score bins,"Control (siRNA alone) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates.","Control (siRNA alone) CTG data for each replicate normalised to mock, then averaged the normalised values across the 2 replicates.","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates.","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to mock, then averaged the normalised values across the 2 replicates.",DOX_AVERAGE_CTG_NORMALISED_TO_NT1 / CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1,Robust Z-score calculated on the FOLD_CHANGE_RATIO,Seed cluster analysis (using Dharmacon's seed clusterer tool) results. Enrichment score cut-off (3) 8.
14303,152330811,,Inactive,,,,M-043434-00,11628,Aicda,15006,G11,-0.84,NC,-1.57,NC,NC both,0.9,0.9,0.8,0.74,0.89,-1.01,
14304,152330814,,Inactive,,,,M-045382-00,229615,Pias3,15015,F18,-1.52,NC,-0.79,NC,NC both,0.86,0.88,0.87,0.91,1.01,0.34,
14305,152330816,,Inactive,,,,M-061480-00,258462,Olfr1392,15044,E12,-1.18,NC,-0.56,NC,NC both,0.88,0.92,0.89,0.9,1.01,0.34,
14306,152330827,,Inactive,,,,M-056754-00,319527,B230325K18Rik,15031,J12,-0.84,NC,-0.22,NC,NC both,0.9,0.91,0.92,0.89,1.02,0.45,
14307,152330831,,Inactive,,,,M-051349-00,110821,Pcca,15015,M06,0.51,NC,1.35,NC,NC both,0.98,0.99,1.06,1.11,1.08,1.12,
14308,152330832,,Active,,,,M-052645-00,76415,Fam187b,15022,A04,-0.51,NC,-2.59,LC,LC dox,0.92,0.88,0.71,0.66,0.77,-2.36,
14309,152330837,,Inactive,,,,M-040486-00,12953,Cry2,15035,E16,0.84,NC,0.45,NC,NC both,1,1,0.98,0.94,0.98,0,
14310,152330842,,Inactive,,,,M-057452-00,11464,Actc1,15005,F16,-0.67,NC,0,NC,NC both,0.91,0.92,0.94,0.9,1.03,0.56,
14311,152330863,,Inactive,,,,M-063105-00,27096,Trappc3,15051,L20,1.01,NC,0.45,NC,NC both,1.01,1,0.98,0.92,0.97,-0.11,
14312,152330868,,Inactive,,,,M-045254-00,14070,F8a,15038,A14,0.84,NC,0.56,NC,NC both,1,1,0.99,0.98,0.99,0.11,
14313,152330871,,Inactive,,,,M-063704-00,50724,Sap30l,15005,A07,-0.84,NC,0.9,NC,NC both,0.9,0.92,1.02,0.97,1.13,1.69,
14314,152330884,,Inactive,,,,M-051197-00,12124,Bik,15007,A12,0,NC,0.45,NC,NC both,0.95,0.97,0.98,0.92,1.03,0.56,
14315,152330888,,Inactive,,,,M-046581-00,26987,Eif4e2,15037,J18,0.51,NC,-1.12,NC,NC both,0.98,1.02,0.84,0.86,0.86,-1.35,
14316,152330889,,Inactive,,,,M-060218-00,81630,Zbtb22,15053,M16,1.85,NC,-0.67,NC,NC both,1.06,1.07,0.88,0.85,0.83,-1.69,
14317,152330892,,Active,,,,M-053870-00,330578,A530021J07Rik,15029,G06,-1.01,NC,-2.7,LC,LC dox,0.89,0.89,0.7,0.7,0.79,-2.14,
14318,152330900,,Inactive,,,,M-054143-00,77905,Fate1,15028,B13,-0.67,NC,-0.11,NC,NC both,0.91,0.9,0.93,0.86,1.02,0.45,
14319,152330906,,Inactive,,,,M-062027-00,12509,Cd59a,15008,E09,-0.17,NC,-0.9,NC,NC both,0.94,0.98,0.86,0.87,0.91,-0.79,
14320,152330922,,Inactive,,,,M-055739-00,66607,Ms4a4d,15042,M06,-2.53,LC,-2.25,LC,LC both,0.8,0.78,0.74,0.72,0.92,-0.67,
14321,152330924,,Active,,,,M-041826-00,18549,Pcsk2,15046,N17,-0.17,NC,-2.02,LC,LC dox,0.94,0.96,0.76,0.76,0.81,-1.91,
14322,152330925,,Inactive,,,,M-042049-00,66743,Rnf220,15026,L07,-0.84,NC,-0.34,NC,NC both,0.9,0.88,0.91,0.9,1.01,0.34,
14323,152330927,,Inactive,,,,M-053751-00,252907,Vmn1r192,15052,B20,0.34,NC,0.56,NC,NC both,0.97,0.98,0.99,0.92,1.02,0.45,
14324,152330928,,Inactive,,,,M-057386-00,20342,Selenbp2,15017,H08,-0.17,NC,-1.46,NC,NC both,0.94,0.92,0.81,0.8,0.86,-1.35,
14325,152330931,,Inactive,,,,M-065528-00,331535,Serpina7,15007,D07,-0.51,NC,0.67,NC,NC both,0.92,0.94,1,0.94,1.09,1.24,
14326,152330932,,Inactive,,,,M-054677-00,239719,Mkl2,15014,E09,-1.52,NC,1.12,NC,NC both,0.86,0.86,1.04,1,1.21,2.59,
14327,152330933,,Inactive,,,,M-054776-00,52686,Mettl2,15041,B14,-1.18,NC,-1.35,NC,NC both,0.88,0.88,0.82,0.77,0.93,-0.56,
14328,152330937,,Inactive,,,,M-049667-00,67489,AP4B1,15031,A11,1.18,NC,0.45,NC,NC both,1.02,1.03,0.98,0.96,0.96,-0.22,
14329,152330938,,Inactive,,,,M-065261-00,404312,Olfr250,15044,P03,1.85,NC,0.67,NC,NC both,1.06,1.1,1,1.01,0.94,-0.45,
14330,152330939,,Inactive,,,,M-044962-00,66248,Alg5,15030,F10,1.18,NC,0,NC,NC both,1.02,1.01,0.94,0.93,0.92,-0.67,
14331,152330942,,Inactive,,,,M-040746-00,16416,Itgb3,15013,I03,1.01,NC,-0.45,NC,NC both,1.01,1.02,0.9,0.91,0.89,-1.01,
14332,152330949,,Inactive,,,,M-057014-00,321020,Fpr-rs6,15038,D21,0.34,NC,0.9,NC,NC both,0.97,0.96,1.02,1.02,1.05,0.79,
14333,152330950,,Inactive,,,,M-045662-00,18005,Nek2,15002,G12,0.17,NC,-0.45,NC,NC both,0.96,0.94,0.9,0.85,0.94,-0.45,
14334,152330953,,Inactive,,,,M-048339-00,18693,Pick1,15002,P13,1.18,NC,0.9,NC,NC both,1.02,1.02,1.02,0.97,1,0.22,
14335,152330961,,Active,,,,M-040784-01,19698,Relb,15017,G05,-1.52,NC,-2.02,LC,LC dox,0.86,0.84,0.76,0.74,0.88,-1.12,
14336,152330966,,Inactive,,,,M-064218-00,258832,Olfr109,15004,C18,-0.67,NC,0,NC,NC both,0.91,0.93,0.94,0.9,1.03,0.56,
14337,152330969,,Inactive,,,,M-041732-00,72649,Tmem209,15024,D22,0.17,NC,0.45,NC,NC both,0.96,1,0.98,1.03,1.02,0.45,
14338,152330970,,Inactive,,,,M-044647-00,20191,Ryr2,15017,H19,0.51,NC,-0.45,NC,NC both,0.98,0.97,0.9,0.89,0.92,-0.67,
14339,152330986,,Inactive,,,,M-059564-00,67610,Rspry1,15005,O17,0,NC,0.22,NC,NC both,0.95,0.96,0.96,0.92,1.01,0.34,
14340,152330987,,Inactive,,,,M-048016-00,67334,1700054O13Rik,15022,N09,-0.51,NC,-0.9,NC,NC both,0.92,0.89,0.86,0.81,0.93,-0.56,
14341,152330992,,Inactive,,,,M-065147-00,18372,Olfr8,15045,D06,-0.17,NC,-1.12,NC,NC both,0.94,0.94,0.84,0.82,0.89,-1.01,
14342,152330993,,Inactive,,,,M-053577-00,240069,Morc2b,15026,B06,-0.84,NC,-0.9,NC,NC both,0.9,0.88,0.86,0.84,0.96,-0.22,
14343,152330996,,Inactive,,,,M-040983-00,23872,Ets2,15010,M15,0.51,NC,1.12,NC,NC both,0.98,0.98,1.04,1.05,1.06,0.9,
14344,152331005,,Inactive,,,,M-063535-00,16341,Eif3e,15010,N05,-3.2,LC,-3.37,LC,LC both,0.76,0.75,0.64,0.64,0.84,-1.57,
14345,152331008,,Inactive,,,,M-043870-00,24012,Rgs7,15004,F15,-3.2,LC,0.45,NC,LC control,0.76,0.77,0.98,0.95,1.29,3.48,
14346,152331012,,Inactive,,,,M-045543-00,80719,Igsf6,15040,M07,-0.17,NC,-0.9,NC,NC both,0.94,0.96,0.86,0.86,0.91,-0.79,
14347,152331013,,Inactive,,,,M-045855-00,71452,Ankrd40,15027,G14,-1.18,NC,-0.45,NC,NC both,0.88,0.86,0.9,0.84,1.02,0.45,
14348,152331014,,Inactive,,,,M-046201-00,15228,Foxg1,15010,P14,2.36,Hi,0.67,NC,Hi control,1.09,1.08,1,1,0.92,-0.67,
14349,152331015,,Inactive,,,,M-046574-00,69156,Comtd1,15035,C21,-0.34,NC,0.67,NC,NC both,0.93,0.94,1,0.96,1.08,1.12,
14350,152331017,,Inactive,,,,M-061193-00,74419,Tktl2,15026,H20,-0.67,NC,0,NC,NC both,0.91,0.9,0.94,0.92,1.03,0.56,
14351,152331020,,Inactive,,,,M-047063-00,69440,Dennd6b,15022,F09,3.2,Hi,-0.11,NC,Hi control,1.14,1.09,0.93,0.87,0.82,-1.8,
14352,152331024,,Inactive,,,,M-052678-00,232023,Vopp1,15031,L19,-1.01,NC,-1.35,NC,NC both,0.89,0.9,0.82,0.8,0.92,-0.67,
14353,152331026,,Inactive,,,,M-046389-00,21647,Tcte3,15051,E16,0,NC,-1.35,NC,NC both,0.95,0.94,0.82,0.77,0.86,-1.35,
14354,152331032,,Inactive,,,,M-059712-00,227059,Slc39a10,15049,J14,0,NC,-0.45,NC,NC both,0.95,0.97,0.9,0.85,0.95,-0.34,
14355,152331039,,Inactive,,,,M-051250-00,13642,Efnb2,15010,H17,1.52,NC,0.45,NC,NC both,1.04,1.03,0.98,0.99,0.94,-0.45,
14356,152331040,,Active,,,,M-054110-00,74183,2310042D19Rik,15023,B15,-1.18,NC,-3.82,LC,LC dox,0.88,0.87,0.6,0.56,0.68,-3.37,
14357,152331045,,Inactive,,,,M-052806-00,27762,Vwa7,15036,A21,1.18,NC,0.56,NC,NC both,1.02,1.04,0.99,0.94,0.97,-0.11,
14358,152331051,,Inactive,,,,M-055599-00,213236,Dnd1,15037,M09,1.85,NC,1.01,NC,NC both,1.06,1.1,1.03,1.05,0.97,-0.11,
14359,152331057,,Inactive,,,,M-055286-00,50720,E130115J16RIK,15037,B15,1.35,NC,-0.11,NC,NC both,1.03,1.06,0.93,0.95,0.9,-0.9,
14360,152331058,,Inactive,,,,M-043309-00,26927,Foxl2,15011,A05,-0.51,NC,-0.9,NC,NC both,0.92,0.97,0.86,0.85,0.93,-0.56,
14361,152331063,,Inactive,,,,M-045361-00,14218,Sh3pxd2a,15018,G21,-0.51,NC,0.22,NC,NC both,0.92,0.96,0.96,1,1.04,0.67,
14362,152331069,,Inactive,,,,M-063501-00,67458,Ergic1,15022,I04,-1.52,NC,-0.67,NC,NC both,0.86,0.82,0.88,0.82,1.02,0.45,
14363,152331074,,Inactive,,,,M-055704-00,109212,Fam64a,15005,K16,0.84,NC,-0.67,NC,NC both,1,1.02,0.88,0.83,0.88,-1.12,
14364,152331076,,Inactive,,,,M-052673-00,66329,Susd3,15022,M15,0.17,NC,-1.8,NC,NC both,0.96,0.92,0.78,0.73,0.81,-1.91,
14365,152331077,,Inactive,,,,M-042070-00,387344,Tas2r110,15051,K13,0.51,NC,0.79,NC,NC both,0.98,0.96,1.01,0.94,1.03,0.56,
14366,152331080,,Inactive,,,,M-057140-00,545156,E530005C20RIK,15037,P03,0.84,NC,0.56,NC,NC both,1,1.04,0.99,1,0.99,0.11,
14367,152331089,,Inactive,,,,M-058485-00,20182,Rxrb,15017,H09,-0.17,NC,-0.45,NC,NC both,0.94,0.93,0.9,0.89,0.96,-0.22,
14368,152331091,,Inactive,,,,M-041099-00,14083,Ptk2,15002,F04,-1.52,NC,0,NC,NC both,0.86,0.86,0.94,0.9,1.09,1.24,
14369,152331095,,Inactive,,,,M-061557-00,16700,Krtap6-1,15040,H20,0.17,NC,-1.35,NC,NC both,0.96,0.98,0.82,0.83,0.85,-1.46,
14370,152331112,,Active,,,,M-061643-00,50518,a,15005,D09,-1.18,NC,-2.02,LC,LC dox,0.88,0.89,0.76,0.73,0.86,-1.35,
14371,152331127,,Inactive,,,,M-041111-00,64214,Rgs18,15048,M17,0.67,NC,0,NC,NC both,0.99,1,0.94,0.86,0.95,-0.34,
14372,152331129,,Inactive,,,,M-045433-00,14257,Flt4,15001,J12,0.51,NC,-0.45,NC,NC both,0.98,1.01,0.9,0.9,0.92,-0.67,
14373,152331136,,Inactive,,,,M-044957-00,66249,Pno1,15022,H16,-5.56,LC,-4.16,LC,LC both,0.62,0.59,0.57,0.54,0.92,-0.67,
14374,152331154,,Inactive,,,,M-051157-00,68272,Rbm28,15048,A11,-0.51,NC,1.24,NC,NC both,0.92,0.92,1.05,0.97,1.14,1.8,
14375,152331160,,Inactive,,,,M-047794-00,57810,Cdon,15008,O13,0.34,NC,-0.11,NC,NC both,0.97,1.02,0.93,0.94,0.96,-0.22,
14376,152331163,,Inactive,,,,M-063642-00,12965,Crygb,15008,N08,1.18,NC,-0.45,NC,NC both,1.02,1.08,0.9,0.9,0.88,-1.12,
14377,152331164,,Inactive,,,,M-051863-00,76770,2010005H15Rik,15004,L20,0,NC,0.9,NC,NC both,0.95,0.97,1.02,0.98,1.07,1.01,
14378,152331173,,Inactive,,,,M-054096-00,227394,Slco4c1,15033,H14,0.17,NC,0.9,NC,NC both,0.96,0.98,1.02,0.98,1.06,0.9,
14379,152331177,,Inactive,,,,M-065558-00,14184,Fgfr3,15001,H22,0.17,NC,-0.45,NC,NC both,0.96,0.99,0.9,0.91,0.94,-0.45,
14380,152331178,,Inactive,,,,M-053789-00,26932,Ppp2r5e,15016,M05,0.84,NC,-0.79,NC,NC both,1,1.02,0.87,0.84,0.87,-1.24,
14381,152331181,,Active,,,,M-049854-00,67640,4930465K10Rik,15026,A06,1.52,NC,-2.92,LC,LC dox,1.04,1.02,0.68,0.66,0.65,-3.71,
14382,152331182,,Inactive,,,,M-062830-00,24055,Sh3bp2,15018,G03,-1.18,NC,-1.12,NC,NC both,0.88,0.9,0.84,0.87,0.95,-0.34,
14383,152331191,,Inactive,,,,M-059523-00,242662,Rims3,15048,A10,-0.17,NC,1.12,NC,NC both,0.94,0.94,1.04,0.97,1.11,1.46,
14384,152331208,,Inactive,,,,M-051102-00,64930,Tsc1,15019,N14,0.84,NC,0,NC,NC both,1,1.03,0.94,0.95,0.94,-0.45,
14385,152331212,,Inactive,,,,M-040774-00,20393,Sgk1,15002,N16,0,NC,0.34,NC,NC both,0.95,0.94,0.97,0.92,1.02,0.45,
14386,152331214,,Inactive,,,,M-061970-00,258274,Olfr1412,15044,G14,-2.53,LC,-2.25,LC,LC both,0.8,0.83,0.74,0.74,0.92,-0.67,
14387,152331217,,Inactive,,,,M-065198-00,99982,Kdm1a,15009,H22,0.84,NC,0.9,NC,NC both,1,1.02,1.02,0.97,1.02,0.45,
14388,152331230,,Inactive,,,,M-058489-00,20674,Sox2,15018,M04,-0.51,NC,0.34,NC,NC both,0.92,0.95,0.97,1.01,1.05,0.79,
14389,152331233,,Inactive,,,,M-056147-00,269514,Fbxl4,15010,K22,1.01,NC,1.46,NC,NC both,1.01,1,1.07,1.09,1.06,0.9,
14390,152331235,,Inactive,,,,M-045565-00,22789,Zp3r,15053,F08,-1.85,NC,-0.45,NC,NC both,0.84,0.85,0.9,0.88,1.07,1.01,
14391,152331238,,Inactive,,,,M-044727-00,14789,Leprel2,15041,A11,1.18,NC,0,NC,NC both,1.02,1.02,0.94,0.88,0.92,-0.67,
14392,152331240,,Inactive,,,,M-041017-00,13051,Cx3cr1,15003,B07,-1.18,NC,0.45,NC,NC both,0.88,0.89,0.98,0.98,1.11,1.46,
14393,152331248,,Inactive,,,,M-054383-00,70552,Lrrc56,15027,K18,0.67,NC,0,NC,NC both,0.99,0.98,0.94,0.88,0.95,-0.34,
14394,152331250,,Inactive,,,,M-057396-00,244416,Ppp1r3b,15016,I21,0.51,NC,0.9,NC,NC both,0.98,1.01,1.02,0.99,1.04,0.67,
14395,152331253,,Inactive,,,,M-040806-00,14179,Fgf8,15010,D22,0.67,NC,-0.34,NC,NC both,0.99,0.98,0.91,0.92,0.92,-0.67,
14396,152331255,,Inactive,,,,M-055538-00,212986,Scfd2,15048,J04,0.51,NC,-0.45,NC,NC both,0.98,0.98,0.9,0.83,0.92,-0.67,
14397,152331257,,Inactive,,,,M-040820-00,56398,Chp1,15021,H14,0,NC,0,NC,NC both,0.95,0.92,0.94,0.9,0.99,0.11,
14398,152331259,,Inactive,,,,M-042383-00,16499,Kcnab3,15013,O05,0.84,NC,-0.45,NC,NC both,1,1.01,0.9,0.91,0.9,-0.9,
14399,152331262,,Inactive,,,,M-048050-00,18292,Sebox,15043,O22,2.53,Hi,1.91,NC,Hi control,1.1,1.07,1.11,1.04,1.01,0.34,
14400,152331264,,Inactive,,,,M-041014-00,12675,Chuk,15001,F09,-0.84,NC,0.67,NC,NC both,0.9,0.94,1,1.01,1.11,1.46,
14401,152331276,,Inactive,,,,M-040165-00,12402,Cbl,15007,D20,0.17,NC,1.69,NC,NC both,0.96,0.98,1.09,1.04,1.14,1.8,
14402,152331278,,Inactive,,,,M-042479-00,57738,Slc15a2,15049,B11,1.52,NC,-0.34,NC,NC both,1.04,1.06,0.91,0.86,0.88,-1.12,
14403,152331281,,Inactive,,,,M-052491-00,171255,Vmn1r201,15052,D08,-0.17,NC,-1.8,NC,NC both,0.94,0.94,0.78,0.72,0.83,-1.69,
14404,152331283,,Inactive,,,,M-042923-00,11770,Fabp4,15010,G06,-0.51,NC,-0.56,NC,NC both,0.92,0.91,0.89,0.9,0.97,-0.11,
14405,152331289,,Inactive,,,,M-061048-00,258645,Olfr418-ps1,15004,E16,-2.19,LC,0.34,NC,LC control,0.82,0.84,0.97,0.93,1.18,2.25,
14406,152331298,,Inactive,,,,M-064638-00,268567,Tmem229b,15027,J10,-0.17,NC,-0.79,NC,NC both,0.94,0.92,0.87,0.81,0.93,-0.56,
14407,152331305,,Inactive,,,,M-063601-00,68828,Sync,15051,C05,0.51,NC,-0.11,NC,NC both,0.98,0.97,0.93,0.88,0.95,-0.34,
14408,152331312,,Inactive,,,,M-058093-00,272636,Esyt3,15036,J21,1.52,NC,-0.22,NC,NC both,1.04,1.06,0.92,0.88,0.88,-1.12,
14409,152331320,,Inactive,,,,M-040113-00,15257,Hipk1,15001,P14,1.18,NC,0.11,NC,NC both,1.02,1.06,0.95,0.96,0.93,-0.56,
14410,152331324,,Inactive,,,,M-045882-00,14760,Gpr19,15003,F18,-0.84,NC,-0.79,NC,NC both,0.9,0.91,0.87,0.88,0.97,-0.11,
14411,152331326,,Inactive,,,,M-065336-00,258232,Olfr774,15045,P15,1.52,NC,1.57,NC,NC both,1.04,1.05,1.08,1.06,1.04,0.67,
14412,152331327,,Inactive,,,,M-056066-00,245865,Spag4,15050,K10,-0.51,NC,0.45,NC,NC both,0.92,0.94,0.98,0.94,1.07,1.01,
14413,152331330,,Inactive,,,,M-050775-00,50529,Mrps7,15042,K04,-1.85,NC,0.22,NC,NC both,0.84,0.8,0.96,0.93,1.14,1.8,
14414,152331335,,Inactive,,,,M-046349-00,15483,Hsd11b1,15012,K04,-0.84,NC,-1.24,NC,NC both,0.9,0.94,0.83,0.8,0.92,-0.67,
14415,152331341,,Inactive,,,,M-058282-00,218203,Mylip,15042,J13,-1.01,NC,-0.9,NC,NC both,0.89,0.86,0.86,0.83,0.97,-0.11,
14416,152331342,,Inactive,,,,M-060711-00,56357,Ivd,15013,I21,1.85,NC,0.67,NC,NC both,1.06,1.08,1,1.03,0.94,-0.45,
14417,152331346,,Inactive,,,,M-057478-00,18010,Neu1,15014,N17,0.34,NC,0.67,NC,NC both,0.97,0.97,1,0.96,1.03,0.56,
14418,152331353,,Inactive,,,,M-062801-00,22329,Vcam1,15020,K16,0.17,NC,0.34,NC,NC both,0.96,0.98,0.97,0.92,1.01,0.34,
14419,152331358,,Inactive,,,,M-042270-00,19662,Rbp4,15017,C11,-1.52,NC,-0.67,NC,NC both,0.86,0.84,0.88,0.86,1.02,0.45,
14420,152331359,,Inactive,,,,M-054940-00,107586,Ovol2,15053,B05,1.52,NC,0.67,NC,NC both,1.04,1.04,1,0.97,0.96,-0.22,
14421,152331362,,Inactive,,,,M-050354-00,54712,Plxnc1,15016,H17,-0.51,NC,0.45,NC,NC both,0.92,0.94,0.98,0.95,1.07,1.01,
14422,152331363,,Inactive,,,,M-044364-00,14180,Fgf9,15010,F04,0,NC,0.56,NC,NC both,0.95,0.94,0.99,1,1.04,0.67,
14423,152331364,,Inactive,,,,M-045334-00,66191,Ier3ip1,15021,N19,0.51,NC,-0.22,NC,NC both,0.98,0.96,0.92,0.88,0.94,-0.45,
14424,152331366,,Inactive,,,,M-063990-00,21952,Tnni1,15019,O12,-0.17,NC,0,NC,NC both,0.94,0.96,0.94,0.95,1,0.22,
14425,152331370,,Inactive,,,,M-060952-00,69894,2010107G23Rik,15023,B22,0.51,NC,-0.22,NC,NC both,0.98,0.98,0.92,0.86,0.94,-0.45,
14426,152331386,,Inactive,,,,M-051458-00,70726,Angptl6,15030,J14,0.84,NC,-0.22,NC,NC both,1,0.98,0.92,0.92,0.92,-0.67,
14427,152331387,,Inactive,,,,M-054428-00,212085,Trim52,15041,I07,-1.35,NC,-1.69,NC,NC both,0.87,0.88,0.79,0.75,0.91,-0.79,
14428,152331392,,Active,,,,M-053086-00,100504140,4930412M03RIK,15026,G13,0,NC,-2.7,LC,LC dox,0.95,0.93,0.7,0.7,0.74,-2.7,
14429,152331398,,Inactive,,,,M-060488-00,14704,Gng3,15003,P19,2.36,Hi,2.02,Hi,Hi both,1.09,1.1,1.12,1.13,1.03,0.56,
14430,152331400,,Inactive,,,,M-044296-00,20536,Slc4a3,15018,N08,0.84,NC,0.45,NC,NC both,1,1.04,0.98,1.02,0.98,0,
14431,152331402,,Inactive,,,,M-050322-00,55947,Dclre1a,15009,P12,1.52,NC,2.02,Hi,Hi dox,1.04,1.07,1.12,1.07,1.08,1.12,
14432,152331404,,Inactive,,,,M-065140-00,244813,Bsx,15033,M06,-0.17,NC,-0.79,NC,NC both,0.94,0.95,0.87,0.84,0.93,-0.56,
14433,152331408,,Inactive,,,,M-057520-00,224836,Usp49,15033,J22,1.52,NC,0,NC,NC both,1.04,1.06,0.94,0.91,0.9,-0.9,
14434,152331412,,Inactive,,,,M-059067-00,17968,Ncam2,15014,F17,-1.35,NC,-0.22,NC,NC both,0.87,0.88,0.92,0.89,1.06,0.9,
14435,152331415,,Inactive,,,,M-063506-00,14611,Gja3,15011,M16,0.34,NC,1.57,NC,NC both,0.97,1.02,1.08,1.07,1.11,1.46,
14436,152331418,,Inactive,,,,M-055888-00,381337,Fam178b,15033,G17,0.51,NC,0,NC,NC both,0.98,1,0.94,0.92,0.96,-0.22,
14437,152331426,,Inactive,,,,M-051314-00,235661,Dync1li1,15037,M07,0.17,NC,-0.67,NC,NC both,0.96,1,0.88,0.9,0.92,-0.67,
14438,152331428,,Inactive,,,,M-044273-00,20568,Slpi,15018,P22,1.18,NC,1.57,NC,NC both,1.02,1.04,1.08,1.12,1.06,0.9,
14439,152331441,,Inactive,,,,M-051600-00,212123,Dcaf15,15033,M03,0.17,NC,0.45,NC,NC both,0.96,0.98,0.98,0.96,1.02,0.45,
14440,152331453,,Inactive,,,,M-045645-00,23853,Def6,15036,F18,-0.84,NC,-1.01,NC,NC both,0.9,0.93,0.85,0.82,0.94,-0.45,
14441,152331454,,Inactive,,,,M-050832-00,12531,Cdc25b,15008,I17,-0.51,NC,0.45,NC,NC both,0.92,0.96,0.98,0.99,1.07,1.01,
14442,152331460,,Inactive,,,,M-043770-00,16450,Jag2,15013,K07,0.17,NC,-0.9,NC,NC both,0.96,0.96,0.86,0.88,0.9,-0.9,
14443,152331461,,Inactive,,,,M-056737-00,22138,D830007G01RIK,15036,O20,-0.17,NC,1.35,NC,NC both,0.94,0.96,1.06,1.02,1.13,1.69,
14444,152331464,,Inactive,,,,M-043130-00,54382,Tcstv1,15051,E06,-1.01,NC,-1.12,NC,NC both,0.89,0.88,0.84,0.79,0.94,-0.45,
14445,152331476,,Inactive,,,,M-062998-00,17907,Mylpf,15042,J15,1.01,NC,0.9,NC,NC both,1.01,0.97,1.02,0.99,1.01,0.34,
14446,152331477,,Inactive,,,,M-050841-00,66988,Lap3,15013,P11,3.71,Hi,0.9,NC,Hi control,1.17,1.18,1.02,1.04,0.87,-1.24,
14447,152331478,,Inactive,,,,M-049982-00,56690,Mlycd,15042,A21,0.51,NC,1.91,NC,NC both,0.98,0.93,1.11,1.08,1.13,1.69,
14448,152331481,,Inactive,,,,M-040038-00,18616,Peg3,15046,D10,-1.18,NC,-1.35,NC,NC both,0.88,0.89,0.82,0.8,0.93,-0.56,
14449,152331482,,Inactive,,,,M-041258-00,56632,Sphk2,15002,P20,0.84,NC,2.59,Hi,Hi dox,1,0.99,1.17,1.1,1.17,2.14,
14450,152331483,,Inactive,,,,M-056199-00,66689,Klhl28,15033,M16,1.18,NC,0.56,NC,NC both,1.02,1.04,0.99,0.96,0.97,-0.11,
14451,152331484,,Inactive,,,,M-056381-00,71738,Mamdc2,15041,F19,0.51,NC,0.22,NC,NC both,0.98,0.98,0.96,0.9,0.98,0,
14452,152331499,,Inactive,,,,M-060691-00,258771,Olfr473,15045,G13,-1.85,NC,-1.8,NC,NC both,0.84,0.86,0.78,0.76,0.93,-0.56,
14453,152331501,,Inactive,,,,M-054678-00,71371,Arid5b,15031,K03,0.51,NC,-0.67,NC,NC both,0.98,0.99,0.88,0.86,0.9,-0.9,
14454,152331502,,Inactive,,,,M-050306-00,71913,Tmem79,15023,D05,0.84,NC,0.45,NC,NC both,1,1,0.98,0.92,0.98,0,
14455,152331505,,Inactive,,,,M-059715-00,229473,D930015E06Rik,15036,F15,1.18,NC,-1.57,NC,NC both,1.02,1.04,0.8,0.76,0.78,-2.25,
